STIG ID,NIST 800-53 Control ID,Severity,Step Number,Action/Command,Expected Output/Result,Expected Screen Output (what user sees),Notes,Pass/Fail
SV-257792r1044842_rule,SC.03.1(ii),MEDIUM,1,Run `grubby --info=ALL | grep args | grep -v 'vsyscall=none'`,"'vsyscall' must be 'set to'. If it is not, this is a finding.

The configuration includes:
  GRUB_CMDLINE_LINUX=""vsyscall=none""",Command output should show lines matching pattern: args,Configuration: info = ALL; Configuration: vsyscall = none',[ ] Pass / [ ] Fail
SV-257792r1044842_rule,SC.03.1(ii),MEDIUM,2,Run `grep vsyscall /etc/default/grub`,"'vsyscall' must be 'set to'. If it is not, this is a finding.

The configuration includes:
  GRUB_CMDLINE_LINUX=""vsyscall=none""",Command output should show lines matching pattern: args,Configuration: info = ALL; Configuration: vsyscall = none',[ ] Pass / [ ] Fail
SV-257793r1044843_rule,SC.03.1(ii),MEDIUM,1,Run `grubby --info=ALL | grep args | grep -v 'page_poison=1'`,"'page_poison' must be 'set to'. If it is not, this is a finding.",Command output should show lines matching pattern: args,Configuration: info = ALL; Configuration: page_poison = 1',[ ] Pass / [ ] Fail
SV-257793r1044843_rule,SC.03.1(ii),MEDIUM,2,Run `grep page_poison /etc/default/grub`,"'page_poison' must be 'set to'. If it is not, this is a finding.",Command output should show lines matching pattern: args,Configuration: info = ALL; Configuration: page_poison = 1',[ ] Pass / [ ] Fail
SV-257794r1069362_rule,SC.03.1(ii),MEDIUM,1,Run `grep -i grub_cmdline_linux /etc/default/grub`,"The following condition must NOT be true: ""init_on_free=1"" is missing or commented out. If it is true, this is a finding.",Command output should show lines matching pattern: -i,"Configuration: GRUB_CMDLINE_LINUX = ""...; Configuration: init_on_free = 1""",[ ] Pass / [ ] Fail
SV-257796r1044847_rule,AU.03.1,LOW,1,Run `grubby --info=ALL | grep args | grep -v 'audit=1'`,"'audit' must be 'set to'. If it is not, this is a finding.",Command output should show lines matching pattern: args,Configuration: info = ALL; Configuration: audit = 1',[ ] Pass / [ ] Fail
SV-257796r1044847_rule,AU.03.1,LOW,2,Run `grep audit /etc/default/grub`,"'audit' must be 'set to'. If it is not, this is a finding.",Command output should show lines matching pattern: args,Configuration: info = ALL; Configuration: audit = 1',[ ] Pass / [ ] Fail
SV-257804r1044853_rule,CM.07.1(ii),MEDIUM,1,Run `grep -r atm /etc/modprobe.conf /etc/modprobe.d/*`,"'the command does not return any output, or the line is commented out, and use of ATM' must be 'documented with the information system security officer (ISSO) as an operational requirement,'. If it is not, this is a finding.",Command output should show lines matching pattern: -r,File location: /etc/modprobe.conf,[ ] Pass / [ ] Fail
SV-257805r1044856_rule,CM.07.1(ii),MEDIUM,1,Run `grep -r can /etc/modprobe.conf /etc/modprobe.d/*`,"'the command does not return any output, or the lines are commented out, and use of CAN' must be 'documented with the information system security officer (ISSO) as an operational requirement,'. If it is not, this is a finding.",Command output should show lines matching pattern: -r,File location: /etc/modprobe.conf,[ ] Pass / [ ] Fail
SV-257806r1044859_rule,CM.07.1(ii),MEDIUM,1,Run `grep -r firewire-core /etc/modprobe.conf /etc/modprobe.d/*`,"'the command does not return any output, or the lines are commented out, and use of firewire-core' must be 'documented with the information system security officer (ISSO) as an operational requirement,'. If it is not, this is a finding.",Command output should show lines matching pattern: -r,File location: /etc/modprobe.conf,[ ] Pass / [ ] Fail
SV-257807r1044862_rule,CM.07.1(ii),MEDIUM,1,Run `grep -r sctp /etc/modprobe.conf /etc/modprobe.d/*`,"'the command does not return any output, or the lines are commented out, and use of sctp' must be 'documented with the information system security officer (ISSO) as an operational requirement,'. If it is not, this is a finding.",Command output should show lines matching pattern: -r,File location: /etc/modprobe.conf,[ ] Pass / [ ] Fail
SV-257808r1044865_rule,CM.07.1(ii),MEDIUM,1,Run `grep -r tipc /etc/modprobe.conf /etc/modprobe.d/*`,"'the command does not return any output, or the lines are commented out, and use of tipc' must be 'documented with the information system security officer (ISSO) as an operational requirement,'. If it is not, this is a finding.",Command output should show lines matching pattern: -r,File location: /etc/modprobe.conf,[ ] Pass / [ ] Fail
SV-257813r1134899_rule,CM.06.1(iv),MEDIUM,1,Run `grep -i storage /etc/systemd/coredump.conf`,"Must: RHEL 9 disables storing core dumps for all users by issuing the following command:

$ grep -i storage /etc/systemd/coredump. If it does not, this is a finding.",Command output should show lines matching pattern: -i,File location: /etc/systemd/coredump.conf; Configuration: Storage = none,[ ] Pass / [ ] Fail
SV-257814r1134901_rule,CM.06.1(iv),MEDIUM,1,Run `grep -r -s core /etc/security/limits.conf /etc/security/limits.d/*.conf`,"Must: RHEL 9 disables core dumps for all users by issuing the following command:

$ grep -r -s core /etc/security/limits. If it does not, this is a finding.",Command output should show lines matching pattern: -r,File location: /etc/security/limits.conf,[ ] Pass / [ ] Fail
SV-257817r1069383_rule,SI.16,MEDIUM,1,Run `grep ^flags /proc/cpuinfo | grep -Ev '([^[:alnum:]])(nx)([^[:alnum:]]|$)'`,"The following condition must NOT be true: any output is returned. If it is true, this is a finding.",Command output should show lines matching pattern: ^flags,Configuration: info = ALL,[ ] Pass / [ ] Fail
SV-257817r1069383_rule,SI.16,MEDIUM,2,Run `grubby --info=ALL | grep args | grep -E '([^[:alnum:]])(noexec)([^[:alnum:]])'`,"The following condition must NOT be true: any output is returned. If it is true, this is a finding.",Command output should show lines matching pattern: ^flags,Configuration: info = ALL,[ ] Pass / [ ] Fail
SV-257818r1044876_rule,CM.06.1(iv),MEDIUM,1,Run `systemctl is-enabled  kdump`,"Command output displayed. Verify output matches the expected result. If it does not, this is a finding.",Command output should show lines matching pattern: LoadState\|UnitFileState,Configuration: LoadState = masked; Configuration: UnitFileState = masked,[ ] Pass / [ ] Fail
SV-257818r1044876_rule,CM.06.1(iv),MEDIUM,2,Run `systemctl is-active kdump`,"Command output displayed. Verify output matches the expected result. If it does not, this is a finding.",Command output should show lines matching pattern: LoadState\|UnitFileState,Configuration: LoadState = masked; Configuration: UnitFileState = masked,[ ] Pass / [ ] Fail
SV-257818r1044876_rule,CM.06.1(iv),MEDIUM,3,"Run `systemctl show  kdump  | grep ""LoadState\|UnitFileState""`","Command output displayed. Verify output matches the expected result. If it does not, this is a finding.",Command output should show lines matching pattern: LoadState\|UnitFileState,Configuration: LoadState = masked; Configuration: UnitFileState = masked,[ ] Pass / [ ] Fail
SV-257819r1015075_rule,CM.05(3),MEDIUM,1,"Run `rpm -q --queryformat ""%{SUMMARY}\n"" gpg-pubkey | grep -i ""red hat""`","The following condition must NOT be true: Red Hat GPG keys ""release key 2"" and ""auxiliary key 3"" are not installed. If it is true, this is a finding.",Command output should show lines matching pattern: -i,Configuration: fingerprint = 567E; Configuration: fingerprint = 7E46,[ ] Pass / [ ] Fail
SV-257819r1015075_rule,CM.05(3),MEDIUM,2,Run `gpg -q --keyid-format short --with-fingerprint /etc/pki/rpm-gpg/RPM-GPG-KEY-redhat-release`,"The following condition must NOT be true: Red Hat GPG keys ""release key 2"" and ""auxiliary key 3"" are not installed. If it is true, this is a finding.",Command output should show lines matching pattern: -i,Configuration: fingerprint = 567E; Configuration: fingerprint = 7E46,[ ] Pass / [ ] Fail
SV-257820r1044878_rule,CM.05(3),HIGH,1,Run `grep -w gpgcheck /etc/dnf/dnf.conf`,"Must: GPG signatures that is approved by the organization, this is a finding. If it does not, this is a finding.",Command output should show lines matching pattern: -w,File location: /etc/dnf/dnf.conf; Configuration: gpgcheck = 1,[ ] Pass / [ ] Fail
SV-257821r1015077_rule,CM.05(3),HIGH,1,Run `grep localpkg_gpgcheck /etc/dnf/dnf.conf`,"Must: that dnf always checks the GPG signature of locally installed software packages before installation:

$ grep localpkg_gpgcheck /etc/dnf/dnf. If it does not, this is a finding.; Must: GPG signatures that is approved by the organization, this is a finding. If it does not, this is a finding.",Command output should show lines matching pattern: localpkg_gpgcheck,File location: /etc/dnf/dnf.conf; Configuration: localpkg_gpgcheck = 1,[ ] Pass / [ ] Fail
SV-257822r1044880_rule,CM.05(3),HIGH,1,Run `grep -w gpgcheck /etc/yum.repos.d/*.repo | more`,"'gpgcheck' must be 'set to'. If it is not, this is a finding.",Command output should show lines matching pattern: -w,Configuration: gpgcheck = 1,[ ] Pass / [ ] Fail
SV-257823r1051231_rule,CM.06.1(iv),MEDIUM,1,"Run `rpm -Va --noconfig | awk '$1 ~ /..5/ && $2 != ""c""'`","The following condition must NOT be true: there is output. If it is true, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257824r1044886_rule,SI.02(6),LOW,1,Run `grep -i clean_requirements_on_remove /etc/dnf/dnf.conf`,"'clean_requirements_on_remove' must be 'set to'. If it is not, this is a finding.",Command output should show lines matching pattern: -i,File location: /etc/dnf/dnf.conf; Configuration: clean_requirements_on_remove = True,[ ] Pass / [ ] Fail
SV-257825r1044888_rule,CM.05(3),MEDIUM,1,Run `dnf list --installed subscription-manager`,"The following condition must NOT be true: the ""subscription-manager"" package is not installed. If it is true, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257827r1044892_rule,CM.07.1(ii),MEDIUM,1,Run `dnf list --installed sendmail`,"The following condition must NOT be true: the ""sendmail"" package is installed. If it is true, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257828r1044894_rule,CM.07.1(ii),MEDIUM,1,Run `dnf list --installed nfs-utils`,"The following condition must NOT be true: the ""nfs-utils"" package is installed. If it is true, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257829r1044896_rule,CM.07.1(ii),MEDIUM,1,Run `dnf list --installed ypserv`,"The following condition must NOT be true: the ""ypserv"" package is installed. If it is true, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257830r1134906_rule,CM.07.1(ii),MEDIUM,1,Run `dnf repolist`,"The following condition must NOT be true: any repositories containing the word ""epel"" in the name exist. If it is true, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257831r1044898_rule,CM.07.1(ii),MEDIUM,1,Run `dnf list --installed telnet-server`,"The following condition must NOT be true: the ""telnet-server"" package is installed. If it is true, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257832r1044900_rule,CM.07.1(ii),MEDIUM,1,Run `dnf list --installed gssproxy`,"Command output displayed. Verify output matches the expected result. If it does not, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257833r1044902_rule,CM.07.1(ii),MEDIUM,1,Run `dnf list --installed iprutils`,"Command output displayed. Verify output matches the expected result. If it does not, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257834r1044904_rule,CM.07.1(ii),MEDIUM,1,Run `dnf list --installed tuned`,"Command output displayed. Verify output matches the expected result. If it does not, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257835r1102037_rule,CM.06.1(iv),HIGH,1,Run `dnf list --installed tftp-server`,"The following condition must NOT be true: the ""tftp-server"" package is installed. If it is true, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257836r1044908_rule,CM.06.1(iv),MEDIUM,1,Run `dnf list --installed quagga`,"Command output displayed. Verify output matches the expected result. If it does not, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257837r1044910_rule,CM.06.1(iv),MEDIUM,1,"Run `dnf list --installed ""xorg-x11-server-common""`","Command output displayed. Verify output matches the expected result. If it does not, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257838r1044912_rule,IA.02.1(1),MEDIUM,1,Run `dnf list --installed openssl-pkcs11`,"The following condition must NOT be true: the ""openssl-pkcs11"" package is not installed. If it is true, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257839r991589_rule,CM.06.1(iv),MEDIUM,1,Run `dnf list --installed gnutls-utils`,"The following condition must NOT be true: the ""gnutls-utils"" package is not installed. If it is true, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257840r991589_rule,CM.06.1(iv),MEDIUM,1,Run `dnf list --installed nss-tools`,"The following condition must NOT be true: the ""nss-tools"" package is not installed. If it is true, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257841r1044914_rule,CM.06.1(iv),MEDIUM,1,Run `dnf list --installed rng-tools`,"The following condition must NOT be true: the ""rng-tools"" package is not installed. If it is true, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257842r1044916_rule,CM.03(5),MEDIUM,1,Run `dnf list --installed s-nail`,"The following condition must NOT be true: ""s-nail"" package is not installed. If it is true, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257843r991589_rule,CM.06.1(iv),MEDIUM,1,Run `mount | grep /home`,"The following condition must NOT be true: a separate entry for ""/home"" is not in use. If it is true, this is a finding.",Command output should show lines matching pattern: /home,Configuration: UUID = fba5000f-2ffa-4417-90eb-8c54ae74a32f,[ ] Pass / [ ] Fail
SV-257844r1044918_rule,CM.06.1(iv),MEDIUM,1,Run `mount | grep /tmp`,"The following condition must NOT be true: a separate entry for ""/tmp"" is not in use. If it is true, this is a finding.",Command output should show lines matching pattern: /tmp,,[ ] Pass / [ ] Fail
SV-257845r1044920_rule,CM.06.1(iv),LOW,1,Run `mount | grep /var`,"The following condition must NOT be true: a separate entry for ""/var"" is not in use. If it is true, this is a finding.",Command output should show lines matching pattern: /var,Configuration: logbufs = 8; Configuration: logbsize = 32k,[ ] Pass / [ ] Fail
SV-257846r1044922_rule,CM.06.1(iv),LOW,1,Run `mount | grep /var/log`,"The following condition must NOT be true: a separate entry for ""/var/log"" is not in use. If it is true, this is a finding.",Command output should show lines matching pattern: /var/log,Configuration: logbufs = 8; Configuration: logbsize = 32k),[ ] Pass / [ ] Fail
SV-257847r1044924_rule,AU.04,LOW,1,Run `mount | grep /var/log/audit`,"The following condition must NOT be true: no line is returned. If it is true, this is a finding.",Command output should show lines matching pattern: /var/log/audit,Configuration: logbufs = 8; Configuration: logbsize = 32k,[ ] Pass / [ ] Fail
SV-257848r1044926_rule,CM.06.1(iv),MEDIUM,1,Run `mount | grep /var/tmp`,"The following condition must NOT be true: a separate entry for ""/var/tmp"" is not in use. If it is true, this is a finding.",Command output should show lines matching pattern: /var/tmp,Configuration: logbufs = 8; Configuration: logbsize = 32k),[ ] Pass / [ ] Fail
SV-257849r1044928_rule,IA.03.1(ii),MEDIUM,1,Run `systemctl is-enabled  autofs`,"Command output displayed. Verify output matches the expected result. If it does not, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257850r1044930_rule,CM.07(2),MEDIUM,1,Run `mount | grep /home`,"The following condition must NOT be true: the ""/home"" file system is mounted without the ""nodev"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /home,,[ ] Pass / [ ] Fail
SV-257851r1044932_rule,CM.07(2),MEDIUM,1,Run `mount | grep /home`,"The following condition must NOT be true: the ""/home"" file system is mounted without the ""nosuid"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /home,,[ ] Pass / [ ] Fail
SV-257852r991589_rule,CM.06.1(iv),MEDIUM,1,Run `mount | grep /home`,"The following condition must NOT be true: the ""/home"" file system is mounted without the ""noexec"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /home,,[ ] Pass / [ ] Fail
SV-257854r1044934_rule,CM.06.1(iv),MEDIUM,1,Run `grep nfs /etc/fstab`,"The following condition must NOT be true: the system is mounting file systems via NFS and the ""nodev"" option is missing. If it is true, this is a finding.",Command output should show lines matching pattern: nfs,Configuration: sec = krb5:krb5i:krb5p,[ ] Pass / [ ] Fail
SV-257855r1044936_rule,CM.06.1(iv),MEDIUM,1,Run `grep nfs /etc/fstab`,"The following condition must NOT be true: the system is mounting file systems via NFS and the ""noexec"" option is missing. If it is true, this is a finding.",Command output should show lines matching pattern: nfs,Configuration: sec = krb5:krb5i:krb5p,[ ] Pass / [ ] Fail
SV-257856r1044938_rule,CM.06.1(iv),MEDIUM,1,Run `grep nfs /etc/fstab`,"The following condition must NOT be true: the system is mounting file systems via NFS and the ""nosuid"" option is missing. If it is true, this is a finding.",Command output should show lines matching pattern: nfs,Configuration: sec = krb5:krb5i:krb5p,[ ] Pass / [ ] Fail
SV-257857r991589_rule,CM.06.1(iv),MEDIUM,1,"Manual verification: Configure the ""/etc/fstab"" to use the ""noexec"" option on file systems that are associated with removable media.","All verification requirements must be met. If any requirement is not met, this is a finding.",Review the command output and verify it matches the expected result described above.,Configuration: UUID = 2bc871e4-e2a3-4f29-9ece-3be60c835222,[ ] Pass / [ ] Fail
SV-257858r991589_rule,CM.06.1(iv),MEDIUM,1,"Manual verification: Configure the ""/etc/fstab"" to use the ""nodev"" option on file systems that are associated with removable media.","All verification requirements must be met. If any requirement is not met, this is a finding.",Review the command output and verify it matches the expected result described above.,Configuration: UUID = 2bc871e4-e2a3-4f29-9ece-3be60c835222,[ ] Pass / [ ] Fail
SV-257859r991589_rule,CM.06.1(iv),MEDIUM,1,"Manual verification: Configure the ""/etc/fstab"" to use the ""nosuid"" option on file systems that are associated with removable media.","All verification requirements must be met. If any requirement is not met, this is a finding.",Review the command output and verify it matches the expected result described above.,Configuration: UUID = 2bc871e4-e2a3-4f29-9ece-3be60c835222,[ ] Pass / [ ] Fail
SV-257860r1044940_rule,CM.07(2),MEDIUM,1,Run `mount | grep '\s/boot\s'`,"The following condition must NOT be true: the ""/boot"" file system does not have the ""nodev"" option set. If it is true, this is a finding.",Command output should show lines matching pattern: \s/boot\s,,[ ] Pass / [ ] Fail
SV-257861r1044941_rule,CM.07(2),MEDIUM,1,Run `mount | grep '\s/boot\s'`,"The following condition must NOT be true: the /boot file system does not have the ""nosuid"" option set. If it is true, this is a finding.",Command output should show lines matching pattern: \s/boot\s,,[ ] Pass / [ ] Fail
SV-257862r1134908_rule,CM.07(2),MEDIUM,1,Run `mount | grep '\s/boot/efi\s'`,"The following condition must NOT be true: the /boot/efi file system does not have the ""nosuid"" option set. If it is true, this is a finding.",Command output should show lines matching pattern: \s/boot/efi\s,Configuration: fmask = 0077; Configuration: dmask = 0077,[ ] Pass / [ ] Fail
SV-257863r958804_rule,CM.07(2),MEDIUM,1,Run `mount | grep /dev/shm`,"The following condition must NOT be true: the /dev/shm file system is mounted without the ""nodev"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /dev/shm,,[ ] Pass / [ ] Fail
SV-257865r1044946_rule,CM.07(2),MEDIUM,1,Run `mount | grep /dev/shm`,"The following condition must NOT be true: the /dev/shm file system is mounted without the ""nosuid"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /dev/shm,,[ ] Pass / [ ] Fail
SV-257866r958804_rule,CM.07(2),MEDIUM,1,Run `mount | grep /tmp`,"The following condition must NOT be true: the ""/tmp"" file system is mounted without the ""nodev"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /tmp,,[ ] Pass / [ ] Fail
SV-257867r958804_rule,CM.07(2),MEDIUM,1,Run `mount | grep /tmp`,"The following condition must NOT be true: the ""/tmp"" file system is mounted without the ""noexec"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /tmp,,[ ] Pass / [ ] Fail
SV-257868r958804_rule,CM.07(2),MEDIUM,1,Run `mount | grep /tmp`,"The following condition must NOT be true: the ""/tmp"" file system is mounted without the ""nosuid"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /tmp,,[ ] Pass / [ ] Fail
SV-257869r1102009_rule,CM.07(2),MEDIUM,1,Run `mount | grep /var`,"The following condition must NOT be true: the ""/var"" file system is mounted without the ""nodev"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /var,,[ ] Pass / [ ] Fail
SV-257870r958804_rule,CM.07(2),MEDIUM,1,Run `mount | grep /var/log`,"The following condition must NOT be true: the ""/var/log"" file system is mounted without the ""nodev"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /var/log,,[ ] Pass / [ ] Fail
SV-257871r958804_rule,CM.07(2),MEDIUM,1,Run `mount | grep /var/log`,"The following condition must NOT be true: the ""/var/log"" file system is mounted without the ""noexec"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /var/log,,[ ] Pass / [ ] Fail
SV-257872r958804_rule,CM.07(2),MEDIUM,1,Run `mount | grep /var/log`,"The following condition must NOT be true: the ""/var/log"" file system is mounted without the ""nosuid"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /var/log,,[ ] Pass / [ ] Fail
SV-257873r958804_rule,CM.07(2),MEDIUM,1,Run `mount | grep /var/log/audit`,"The following condition must NOT be true: the ""/var/log/audit"" file system is mounted without the ""nodev"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /var/log/audit,,[ ] Pass / [ ] Fail
SV-257874r958804_rule,CM.07(2),MEDIUM,1,Run `mount | grep /var/log/audit`,"The following condition must NOT be true: the ""/var/log/audit"" file system is mounted without the ""noexec"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /var/log/audit,,[ ] Pass / [ ] Fail
SV-257875r958804_rule,CM.07(2),MEDIUM,1,Run `mount | grep /var/log/audit`,"The following condition must NOT be true: the ""/var/log/audit"" file system is mounted without the ""nosuid"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /var/log/audit,,[ ] Pass / [ ] Fail
SV-257876r958804_rule,CM.07(2),MEDIUM,1,Run `mount | grep /var/tmp`,"The following condition must NOT be true: the ""/var/tmp"" file system is mounted without the ""nodev"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /var/tmp,,[ ] Pass / [ ] Fail
SV-257877r958804_rule,CM.07(2),MEDIUM,1,Run `mount | grep /var/tmp`,"The following condition must NOT be true: the ""/var/tmp"" file system is mounted without the ""noexec"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /var/tmp,,[ ] Pass / [ ] Fail
SV-257878r958804_rule,CM.07(2),MEDIUM,1,Run `mount | grep /var/tmp`,"The following condition must NOT be true: the ""/var/tmp"" file system is mounted without the ""nosuid"" option. If it is true, this is a finding.",Command output should show lines matching pattern: /var/tmp,,[ ] Pass / [ ] Fail
SV-257879r1045454_rule,SC.28.1,HIGH,1,Run `lsblk --tree`,"Must: RHEL 9 prevents unauthorized disclosure or modification of all information requiring at-rest protection by using disk encryption. If it does not, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257879r1045454_rule,SC.28.1,HIGH,2,Run `cryptsetup status luks-b74f6910-2547-4399-86b2-8b0252d926d7`,"Must: RHEL 9 prevents unauthorized disclosure or modification of all information requiring at-rest protection by using disk encryption. If it does not, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257880r1044951_rule,CM.07.1(ii),LOW,1,Run `grep -r cramfs /etc/modprobe.conf /etc/modprobe.d/*`,"'the command does not return any output or the lines are commented out, and use of cramfs' must be 'documented with the information system security officer (ISSO) as an operational requirement,'. If it is not, this is a finding.",Command output should show lines matching pattern: -r,File location: /etc/modprobe.conf,[ ] Pass / [ ] Fail
SV-257881r991589_rule,CM.06.1(iv),MEDIUM,1,Run `mount | grep '^/dev\S* on /\S' | grep --invert-match 'nodev'`,"The following condition must NOT be true: any output is produced. If it is true, this is a finding.",Command output should show lines matching pattern: ^/dev\S*,,[ ] Pass / [ ] Fail
SV-257882r991560_rule,CM.05.1(6),MEDIUM,1,Run `find -L /bin /sbin /usr/bin /usr/sbin /usr/libexec /usr/local/bin /usr/local/sbin -perm /022 -exec l`,"The following condition must NOT be true: any system commands are found to be group-writable or world-writable. If it is true, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257883r991560_rule,CM.05.1(6),MEDIUM,1,Run `find -L /lib /lib64 /usr/lib /usr/lib64 -perm /022 -type d -exec ls -l {} \`,"Command output displayed. Verify output matches the expected result. If it does not, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
SV-257884r1106306_rule,CM.05.1(6),MEDIUM,1,"Run `find /lib /lib64 /usr/lib /usr/lib64 -type f -name '*.so*' -perm /022 -exec stat -c ""%n %a"" {} +`","The following condition must NOT be true: any output is returned. If it is true, this is a finding.",Review the command output and verify it matches the expected result described above.,,[ ] Pass / [ ] Fail
